310	456	621	554	708	538	253	252	313	876	92
311	554	621	133	747	456	313	55	577	400	889
312	92	592	313	146	169	252	262	546	545	192
313	506	673	100	632	425	559	465	726	117	512
210	478	803	524	348	173	41	42	3	340	465
211	763	765	727	618	812	202	626	837	140	584
213	202	16	626	217	133	512	855	203	767	478
214	626	508	774	501	750	778	140	322	616	674
215	542	695	744	95	364	617	307	180	693	620
216	172	194	45	767	60	763	157	709	868	844
217	731	705	70	750	115	578	747	498	276	55
218	592	169	162	836	262	192	591	225	622	412
307	668	177	729	467	123	725	619	672	865	352
335	88	535	352	433	632	364	45	837	162	823
336	111	362	647	169	91	634	17	393	410	389
347	535	172	695	534	9	580	881	696	702	720
370	262	146	169	225	393	277	111	92	623	234
529	364	240	720	244	580	881	702	108	652	847
219	311	328	33	119	223	613	486	722	16	701
577	67	216	69	576	189	701	371	849	675	137
276	276	317	582	171	246	365	860	191	55	397
225	559	856	256	581	186	886	691	785	632	277
226	478	3	271	397	814	775	190	792	42	174
301	837	52	280	845	747	19	108	880	696	626
317	363	606	183	489	73	493	852	4	196	28
318	679	876	708	763	762	858	761	274	741	621
816	777	332	745	688	631	713	758	193	674	466
245	58	226	231	139	76	708	287	686	881	309
246	836	161	516	36	221	301	160	8	232	786
247	227	626	142	862	392	149	249	616	703	433
248	102	432	348	680	7	209	397	113	524	803
249	374	427	340	524	698	803	368	397	131	366
250	128	340	213	559	851	465	810	674	193	117
251	581	551	256	186	313	99	167	192	277	381
252	227	862	703	392	201	217	94	536	836	478
253	706	546	211	513	209	373	432	109	285	101
254	260	750	383	850	816	857	748	674	849	851
255	251	471	469	26	559	285	491	216	792	661
523	275	744	52	679	413	373	741	620	628	660
524	714	653	128	863	685	367	605	722	718	680
525	247	682	536	205	809	572	347	603	750	820
526	16	683	282	216	849	396	701	867	637	819
527	377	326	388	268	532	505	378	674	198	750
720	428	542	429	737	881	847	848	880	553	843
721	832	565	741	541	511	830	885	614	770	776
722	817	682	508	347	663	795	635	495	498	501
723	657	563	768	243	568	500	626	792	612	460
724	612	654	460	561	560	770	83	551	814	762
234	227	633	201	203	530	465	3	249	392	478
235	151	511	473	110	584	579	747	635	55	402
236	110	150	747	753	500	579	808	55	485	750
237	164	511	473	458	101	165	559	545	560	47
238	356	327	882	724	359	54	207	339	714	475
239	559	520	709	767	241	812	347	796	541	572
361	624	587	864	620	514	763	616	599	837	684
364	275	535	848	843	846	775	240	513	542	413
365	858	546	379	86	733	511	804	234	690	458
590	639	736	376	877	344	672	717	786	524	778
609	577	554	621	313	253	252	92	534	240	830
617	470	576	504	349	857	782	824	543	598	671
618	559	632	512	3	646	213	226	723	562	203
619	493	519	374	193	494	427	257	475	359	339
620	668	541	888	362	225	457	546	721	370	262
621	374	698	427	326	348	803	394	175	753	849
622	471	251	184	281	476	526	285	432	474	211
623	464	824	504	857	395	555	773	749	782	816
624	469	251	184	102	216	432	526	474	285	462
240	718	674	416	236	121	330	90	208	680	59
241	683	341	74	89	171	170	490	43	55	841
242	167	511	628	761	618	719	741	313	93	142
243	348	679	828	190	568	661	595	243	184	212
244	511	47	101	164	418	277	615	458	762	679
586	367	875	354	338	392	841	494	395	703	139
587	374	698	348	484	193	468	466	175	803	102
588	429	570	741	744	512	573	628	759	670	599
589	428	570	709	618	741	560	512	761	823	814
591	814	424	627	786	556	629	550	832	102	651
592	340	517	218	7	525	558	471	143	690	91
593	435	453	444	445	162	450	443	449	63	460
594	435	667	651	551	433	836	550	162	821	447
595	434	667	433	651	836	856	786	551	444	445
596	446	444	661	581	551	616	614	433	836	455
597	443	446	433	614	455	435	814	776	856	551
598	433	562	684	480	502	662	435	864	733	162
599	443	444	455	614	448	551	449	727	162	762
600	550	628	162	662	511	761	616	833	433	664
601	762	550	443	664	446	162	502	679	661	451
602	637	536	433	551	809	550	162	446	502	445
603	746	433	473	551	662	162	116	454	502	96
604	448	821	551	834	502	762	858	445	513	679
605	511	516	449	637	811	455	668	583	415	8
606	381	551	433	162	355	502	664	522	622	83
607	662	833	821	460	667	551	559	632	450	512
608	444	446	443	614	433	445	449	775	580	435
682	93	774	90	212	286	508	812	572	126	738
