user_id,0,1,2,3,4,email_clicked
53392dca-6780-495a-81f3-4cefd4718e13,83,85,81,88,168,[]
533d13cb-ac00-48e2-a395-4464d4718e13,55,707,867,557,239,[]
533d4d1b-89f0-4606-81ff-4180d4718e13,187,196,253,689,609,[]
533e7d61-3370-4a63-8b9f-45a4d4718e13,87,115,134,467,798,[]
5342ba5f-732c-44d0-acf5-4ffed4718e13,81,139,177,2,83,[]
534d4ed7-85ec-4f9d-a0cf-411dd4718e13,3,8,39,47,48,[]
534eb770-15c4-4ecc-a7fd-45d2d4718e13,17,50,12,557,7,[]
5358c8d3-21a8-4853-a7f3-46bdd4718e13,33,35,41,43,58,[]
5358d198-0a70-4cfc-bfd6-4947d4718e13,36,40,12,244,707,[]
536237b2-d6f0-403b-8236-4374d4718e13,54,57,64,75,98,[]
5367e2bf-8470-4655-9276-450fd4718e13,51,83,84,86,89,[]
5368b22b-b1f8-4b2d-8fda-4a32d4718e13,14,17,26,31,96,[]
5385d6fb-0878-49a9-9878-4aa2d4718e13,47,50,76,12,23,[]
5391d42d-d77c-489c-b312-4b78d4718e13,17,77,82,123,49,[]
53971beb-92fc-44bd-a148-4b18d4718e13,67,707,867,557,709,[]
53a0016b-fe20-4ac3-ad0a-4dabd4718e13,31,726,787,707,867,[]
53a02bd5-76d4-4bb9-85eb-4d54d4718e13,87,707,867,557,357,[]
53aac660-59c8-486d-80bc-4888d4718e13,55,145,179,187,191,[]
53ac22b9-a130-45b5-b2ef-452bd4718e13,58,3,47,48,50,[]
53b40846-72e4-4cbb-9641-4411d4718e13,112,115,132,129,140,[]
53baf4a2-0f2c-4945-b3e4-491ad4718e13,328,629,557,707,867,[]
53c66711-31a0-43ab-a45b-4be6d4718e13,79,707,867,275,282,[]
53c7b099-40d4-4c32-bd7f-4122d4718e13,163,62,219,20,21,[]
53c7cbb3-0980-40e9-afe2-418ad4718e13,23,60,76,12,99,[]
53d8e15b-6950-4369-8fae-6821d4718e13,282,76,78,48,49,[]
53e0f2b6-65f0-47d8-8f8f-4303d4718e13,88,100,159,426,5,[]
53e245e5-c860-4d7e-9e31-42ecd4718e13,71,78,49,9,56,[]
53e87d53-3e18-46c6-a7bf-499cd4718e13,75,116,210,211,557,[]
53eb7352-d53c-440b-b6af-47ecd4718e13,196,200,298,557,707,[]
53eca309-cc20-44ca-90f6-459cd4718e13,13,56,67,84,87,[]
53edba2e-5b6c-4d3f-befb-4a75d4718e13,503,516,196,267,486,[]
540628a3-687c-4841-a3f6-40eed4718e13,707,867,557,709,541,[]
54157b70-62b4-47e6-b34f-4d0fd4718e13,89,122,707,867,557,[]
54184956-6318-475c-9942-4467d4718e13,197,236,35,36,88,[]
541c461a-047c-4be7-9a54-40fbd4718e13,35,87,322,707,867,[]
543a6180-2f20-44ab-beb7-4402d4718e13,187,168,16,26,54,[]
543d0b47-d4a0-4e4a-962a-4985d4718e13,183,240,195,202,324,[]
5444f6dc-a560-4018-8f70-46fed4718e13,144,167,245,263,282,[]
54476e96-4d30-4f52-95f7-41fad4718e13,179,557,461,707,867,[]
5447b1b9-8cc0-4603-a036-4393d4718e13,345,2,5,39,50,[]
544e3359-a990-4df3-a441-a147d4718e13,301,227,275,312,316,[]
544eca98-48f0-4a70-b322-407ad4718e13,253,69,74,82,108,[]
54527334-f62c-495d-8982-4d27d4718e13,201,186,191,11,13,[]
545340b5-02c0-4124-9e06-4657d4718e13,136,242,266,279,609,[]
5457370f-4a9c-4144-92af-4ef6d4718e13,281,205,55,269,16,[]
