user_id,0,1,2,3,4,emailed
5458b9bc-fd84-482f-972e-4c07d4718e13,165,40,336,3,120,[]
545962f6-b414-4009-a639-4617d4718e13,336,3,457,11,643,[]
545b97ee-efb4-4f92-a831-45f1d4718e13,567,40,705,336,547,[]
545ccd72-7a8c-42d2-8556-4517d4718e13,40,219,116,337,39,[]
54621aa9-6280-4e1f-a94c-4226d4718e13,40,219,116,337,39,[]
5463a446-c6f4-416e-96ab-477ad4718e13,201,3,116,511,44,[]
5464c464-e688-428b-ad05-4b21d4718e13,682,3,336,186,183,[]
5464cbf7-7bec-4893-bbbe-4274d4718e13,567,3,336,356,590,[]
54656b6d-d1ec-42d0-b82a-4836d4718e13,336,505,42,472,587,[]
54662135-9404-44ca-9eab-4249d4718e13,3,336,183,197,156,[]
546640e7-b22c-4dfa-8734-a0e0d4718e13,40,116,197,195,338,[]
5469f03d-1dfc-4833-ad51-47abd4718e13,233,3,336,186,29,[]
546a571f-fcf4-4976-841a-41fcd4718e13,567,336,519,3,457,[]
546f8602-07c4-44b0-b7d6-44dfd4718e13,627,186,336,319,449,[]
5472ec9f-e948-41bc-8d67-455fd4718e13,233,3,186,336,567,[]
547c96e2-358c-4451-89b2-4ddbd4718e13,40,457,52,498,271,[]
547c9e9c-b19c-40a0-a0eb-4d58d4718e13,480,706,271,52,498,[]
547f45e5-9aa4-4052-9a57-4edfd4718e13,3,177,528,60,42,[]
547f53dd-cc84-4791-9ca2-414fd4718e13,111,480,52,133,271,[]
54c66a7a-2304-4d66-bc1f-4e1fd4718e13,567,3,336,421,186,[]
54c7a0b9-03bc-4151-ae6d-4e2dd4718e13,547,567,40,41,177,[]
54ca4244-2dd8-4cd6-9ce5-4e5bd4718e13,40,336,682,472,120,[]
54d0b3d8-c4e8-4441-8761-4649d4718e13,40,766,81,52,752,[]
54dcc56c-53f8-45fe-8b2d-0046ac11001f,682,40,705,336,3,[]
54e62c0f-18c8-4ed5-a676-0040ac110028,40,567,336,547,457,[]
54e7c7a9-93c4-46bd-b8a9-0040ac110028,8,370,194,494,44,[]
54eb054a-1a7c-492e-9ea7-0045ac110028,3,336,186,8,547,[]
54ecca6c-56f0-4f10-aea2-0046ac110028,547,567,3,336,8,[]
54ee01f3-feb4-4751-b34b-0047ac110028,598,197,336,186,233,[]
54eefcf9-a974-4885-8b68-0046ac110028,8,44,71,129,246,[]
54ef0adc-4618-488b-902f-0046ac110028,44,271,93,252,3,[]
54f59741-bc64-4e9b-bd3d-003cac11002b,766,126,252,77,535,[]
54fdae6d-e2c4-4ac2-ab1e-003dac11002b,3,202,553,206,29,[]
