,emailed,unemailed
55547f07-a1c4-47f9-8acc-0041ac110019,[],"[546, 831, 233, 545, 63]"
555992a9-c144-4403-9fa6-0043ac110019,[],"[83, 537, 719, 824, 105]"
5559d549-e818-435f-a7b7-0043ac110019,[],"[233, 75, 234, 154, 852]"
5559f806-0ffc-4d43-83e8-0042ac110019,[],"[308, 328, 69, 276, 199]"
5559fb40-f394-40cd-874c-0047ac110049,[],"[631, 455, 580, 29, 270]"
555a00df-3c0c-49a4-9e47-0047ac110049,[],"[719, 630, 528, 664, 34]"
555b04c2-cfe0-48b1-b934-0047ac110049,[],"[750, 686, 824, 205, 645]"
555c40cc-3de8-4bfb-b2ea-004fac110019,[],"[550, 58, 100, 101, 470]"
555cb469-fda0-4d59-bcf1-0050ac110019,[],"[177, 17, 701, 854, 121]"
555da685-bcac-487e-8248-0052ac110019,[],"[178, 628, 166, 34, 719]"
555db73d-eedc-43a3-a2cb-0050ac110019,[],"[435, 587, 767, 192, 100]"
555dbdfd-a928-44f5-8bda-0051ac110049,[],"[736, 733, 870, 458, 61]"
555e4e98-1cb4-43e4-9713-0051ac110019,[],"[852, 332, 233, 704, 75]"
555ef7bb-a9e4-4da2-a02a-0051ac110049,[],"[351, 230, 709, 801, 882]"
5563153d-dddc-43f8-b00e-0051ac110049,[],"[628, 166, 34, 540, 578]"
55632d5a-39e8-4e13-9a6e-004fac110049,[],"[178, 628, 540, 166, 34]"
55646e62-2aa4-4c6f-bb75-004fac110049,[],"[351, 230, 709, 801, 882]"
5564a4a1-50ac-46be-aaf2-0050ac110049,[],"[78, 190, 776, 603, 538]"
5565da73-7b74-429b-9d49-0053ac110019,[],"[344, 371, 141, 177, 137]"
556d7542-9708-4674-9fe2-0053ac110049,[],"[78, 482, 576, 46, 56]"
556eafdd-ace0-477f-ad59-0055ac110049,[],"[78, 482, 576, 46, 56]"
55700965-f338-42d5-bc09-005aac110019,[],"[399, 185, 646, 271, 346]"
55701889-7bdc-41c8-95fe-0056ac110049,[],"[186, 75, 707, 74, 233]"
55706397-87b0-42c6-8e86-0056ac110049,[],"[322, 821, 544, 823, 156]"
5571f84b-f43c-4c01-9334-005bac110019,[],"[399, 185, 646, 271, 346]"
5577dfe1-8568-4be9-95f1-0056ac110049,[],"[78, 482, 576, 46, 56]"
557ebdba-f440-49f8-80f1-005dac110019,[],"[190, 819, 439, 489, 534]"
